Timestamp,Почему вы решили искать работу за рубежом?,По каким критериям оцениваете предложения работы?,Насколько серьезно настроены на переезд?,На какой стадии ваши поиски?,Какие страны вы рассматриваете в первую очередь?,Куда точно НЕ хотели бы ехать?,Где вы живете сейчас?,Кем вы работаете?,Сколько вам лет?,Семейное положение
8/6/2016 20:12:20,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Прохожу интервью / жду оффер,"Канада, Нидерланды, США","Австралия, Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Тимлид или техлид,32 или больше,Пара с детьми
8/6/2016 20:36:04,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Уже уехал,"Германия, Канада, Польша","Азия, Прибалтика",(другая страна),Программист,23-24,Пара без детей
8/6/2016 20:44:26,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Возможность уехать побыстрее",Твердо намерен уехать,Уже уехал,"(Прибалтика: Литва, Латвия, Эстония), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,(другая страна),Менеджер,32 или больше,Пара с детьми
8/6/2016 20:49:52,Хочется чего-то нового и интересного,"Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,США,"Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Львов,Программист,27-29,Пара без детей
8/6/2016 20:54:41,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного","Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Уже уехал,"Канада, США","Азия, Великобритания, Восточная Европа (Польша, Болгария, Венгрия и др.)",(другая страна),Программист,32 или больше,Пара с детьми
8/6/2016 20:56:35,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,"Получил оффер, собираю документы","Германия, Канада, США","Восточная Европа (Польша, Болгария, Венгрия и др.)",Украина (другой город),(Другое),26-27,Пара без детей
8/6/2016 21:03:10,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Уже уехал,"Великобритания, Нидерланды, Новая Зеландия","Азия, Прибалтика",(другая страна),Тимлид или техлид,32 или больше,Пара с детьми
8/6/2016 21:04:20,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,США,Азия,Харьков,Менеджер,24-26,"Холост / не замужем, детей нет"
8/6/2016 21:16:43,Хочется чего-то нового и интересного,Страна,"Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Польша, (Западная Европа), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),(Еще студент),меньше 23,"Холост / не замужем, детей нет"
8/6/2016 21:32:34,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Австралия, Новая Зеландия, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Евросоюз",Киев,Программист,29-32,Пара с детьми
8/6/2016 21:35:27,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"Канада, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Прибалтика",Киев,Программист,32 или больше,Пара с детьми
8/6/2016 21:36:56,Хочется чего-то нового и интересного,"Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Великобритания, Германия, Канада","Австралия, Азия",Киев,Дизайнер,29-32,Пара с детьми
8/6/2016 21:38:45,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Великобритания, США, (Евросоюз в целом)","Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",(другая страна),Тимлид или техлид,27-29,"Холост / не замужем, детей нет"
8/6/2016 21:43:53,Не вижу перспектив оставаться,"Страна, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Австралия, Канада, США","Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Программист,24-26,"Холост / не замужем, детей нет"
8/6/2016 21:52:15,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"США, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,Харьков,(Еще студент),меньше 23,"Холост / не замужем, детей нет"
8/6/2016 22:10:15,"Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"США, (Западная Европа), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,(Еще студент),меньше 23,"Холост / не замужем, детей нет"
8/6/2016 22:12:15,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, США, (Западная Европа)","Азия, Прибалтика",Украина (другой город),Программист,23-24,Пара без детей
8/6/2016 22:12:48,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Канада, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Украина (другой город),Программист,меньше 23,"Холост / не замужем, детей нет"
8/6/2016 22:12:52,Хочется чего-то нового и интересного,"Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"США, (Евросоюз в целом)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Украина (другой город),Тимлид или техлид,меньше 23,Пара без детей
8/6/2016 22:16:50,Не вижу перспектив оставаться,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Германия, США, (Западная Европа)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,QA,24-26,"Холост / не замужем, детей нет"
8/6/2016 22:19:07,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Нидерланды, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,меньше 23,"Холост / не замужем, детей нет"
8/6/2016 22:21:00,Хочется чего-то нового и интересного,"Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"США, (Евросоюз в целом), (Азия: Сингапур, Таиланд, Китай, и др.)","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),(Другое),27-29,Пара без детей
8/6/2016 22:24:24,Спокойная и безопасная жизнь для меня и семьи,"Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы",Твердо намерен уехать,Уже уехал,(Евросоюз в целом),"Азия, Прибалтика",(другая страна),QA,26-27,Пара без детей
8/6/2016 22:38:36,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня, Возможность уехать побыстрее",Твердо намерен уехать,"Получил оффер, собираю документы","США, (Западная Европа), (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),Программист,32 или больше,Пара без детей
8/6/2016 22:40:20,Хочется чего-то нового и интересного,"Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Прохожу интервью / жду оффер,"США, (Евросоюз в целом)","Канада, Прибалтика",Москва,Программист,32 или больше,"Холост / не замужем, детей нет"
8/6/2016 22:47:25,Не вижу перспектив оставаться,"Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, США, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,Киев,Программист,26-27,"Холост / не замужем, детей нет"
8/6/2016 23:00:57,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Прохожу интервью / жду оффер,"Канада, Польша, (Евросоюз в целом)","Азия, США",Киев,QA,24-26,Пара без детей
8/6/2016 23:04:25,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Великобритания, Польша, США","Австралия, Азия",Киев,(Еще студент),меньше 23,"Холост / не замужем, детей нет"
8/6/2016 23:07:25,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Австралия, США, (Евросоюз в целом)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Тимлид или техлид,23-24,Пара без детей
8/6/2016 23:10:53,"Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,США,"Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,QA,32 или больше,"Холост / не замужем, есть дети"
8/6/2016 23:10:54,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Карьерные перспективы","Готов ехать, если получу хорошее предложение",Прохожу интервью / жду оффер,"США, (Евросоюз в целом), (Азия: Сингапур, Таиланд, Китай, и др.)",,Львов,Программист,меньше 23,Пара без детей
8/6/2016 23:12:43,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, США, (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",Киев,Программист,23-24,"Холост / не замужем, детей нет"
8/6/2016 23:12:46,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Карьерные перспективы",Твердо намерен уехать,"Получил оффер, собираю документы",Германия,"Азия, Великобритания, Прибалтика",Киев,Тимлид или техлид,27-29,Пара с детьми
8/6/2016 23:17:45,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,США,"Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,24-26,Пара без детей
8/6/2016 23:19:16,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.)",Насколько интересна вакансия (проект/компания) лично для меня,"Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"(Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,Харьков,Программист,меньше 23,"Холост / не замужем, детей нет"
8/6/2016 23:22:43,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Канада, Нидерланды, США","Азия, Прибалтика",Украина (другой город),Программист,меньше 23,"Холост / не замужем, детей нет"
8/6/2016 23:33:21,Хочется чего-то нового и интересного,"Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"(Азия: Сингапур, Таиланд, Китай, и др.)","Восточная Европа (Польша, Болгария, Венгрия и др.)",Украина (другой город),Программист,29-32,Пара с детьми
8/6/2016 23:38:07,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы",Твердо намерен уехать,Просматриваю вакансии,"Великобритания, Германия, США","Австралия, Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Львов,Программист,меньше 23,"Холост / не замужем, детей нет"
8/6/2016 23:44:44,Спокойная и безопасная жизнь для меня и семьи,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Германия, Канада, (Западная Европа)","Восточная Европа (Польша, Болгария, Венгрия и др.)",Харьков,(Другое),32 или больше,Пара с детьми
8/7/2016 0:03:57,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Австралия, США, (Западная Европа)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Санкт-Петербург,Менеджер,27-29,Пара с детьми
8/7/2016 0:08:25,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, путешествия",Количество денег на старте,Твердо намерен уехать,Уже уехал,(Евросоюз в целом),"Азия, Прибалтика, США",(другая страна),Тимлид или техлид,32 или больше,Пара без детей
8/7/2016 0:13:47,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, Канада, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Львов,Программист,меньше 23,Пара без детей
8/7/2016 0:18:33,Спокойная и безопасная жизнь для меня и семьи,"Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Германия, Нидерланды",,Украина (другой город),Программист,29-32,Пара с детьми
8/7/2016 0:36:09,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного","Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Австралия, (Евросоюз в целом), (Азия: Сингапур, Таиланд, Китай, и др.)","(Готов ехать куда угодно, если остальные условия устраивают)",Киев,Менеджер,32 или больше,"Холост / не замужем, детей нет"
8/7/2016 0:42:36,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Прохожу интервью / жду оффер,"Канада, Нидерланды, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Программист,23-24,"Холост / не замужем, детей нет"
8/7/2016 0:45:18,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, Канада, США","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),Программист,32 или больше,Пара с детьми
8/7/2016 0:47:00,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Уже уехал,"Польша, США, (Евросоюз в целом)","Австралия, Азия, Великобритания",(другая страна),(Другое),29-32,Пара без детей
8/7/2016 0:47:01,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Прибалтика",Харьков,Программист,меньше 23,"Холост / не замужем, детей нет"
8/7/2016 0:59:01,Хочется чего-то нового и интересного,"Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, США, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Восточная Европа (Польша, Болгария, Венгрия и др.)",Львов,Программист,меньше 23,"Холост / не замужем, детей нет"
8/7/2016 1:00:44,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"(Западная Европа), (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),Программист,27-29,"Холост / не замужем, детей нет"
8/7/2016 1:02:12,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Количество денег на старте, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Австралия, Польша, США","(Готов ехать куда угодно, если остальные условия устраивают)",(другая страна),Тимлид или техлид,29-32,Пара с детьми
8/7/2016 1:04:02,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"США, (Евросоюз в целом), (Прибалтика: Литва, Латвия, Эстония)","Австралия, Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Львов,Программист,24-26,"Холост / не замужем, детей нет"
8/7/2016 1:11:18,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,"Документы подал, сижу на чемоданах",Германия,"Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), США",Киев,Тимлид или техлид,32 или больше,Пара без детей
8/7/2016 1:21:38,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию), Ukraine sucks","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился","Рассылаю резюме, интервью пока не было","Канада, США, (Евросоюз в целом)","Австралия, Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Львов,Тимлид или техлид,32 или больше,"Холост / не замужем, есть дети"
8/7/2016 1:35:12,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Думаю о переезде, но окончательно пока не определился","Рассылаю резюме, интервью пока не было","Австралия, Новая Зеландия, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",,Львов,Программист,27-29,"Холост / не замужем, детей нет"
8/7/2016 1:53:53,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Прохожу интервью / жду оффер,"Германия, (Евросоюз в целом)",Азия,Украина (другой город),Программист,27-29,Пара без детей
8/7/2016 2:06:36,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Уже уехал,"Польша, США, (Евросоюз в целом)","Австралия, Азия",(другая страна),Тимлид или техлид,26-27,Пара без детей
8/7/2016 2:07:32,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,Уже уехал,США,"Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",(другая страна),Менеджер,29-32,Пара без детей
8/7/2016 2:13:27,Не вижу перспектив оставаться,"Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее",Твердо намерен уехать,Просматриваю вакансии,"Германия, Нидерланды, Польша","Канада, Прибалтика, США",РФ (другой город),Программист,меньше 23,"Холост / не замужем, детей нет"
